num,work_name,location,salary,work_year,educate,company_name,company_type,financing_conditions,company_size,city,nums
1037,大数据产品专家,上海,85000,7年以上,本科,某500强上市公司,数据服务,已上市,10000人以上,上海,1
1038,大数据金融售前,西安,30000,3-5年,本科,某知名互联网公司,互联网,未融资,1000-9999人,西安,1
1039,大数据开发工程师,合肥·蜀山区·经开区,17500,3-5年,本科,天泽智联,互联网,C轮,100-499人,合肥,1
1040,大数据销售经理,北京·朝阳区·安贞,27500,经验不限,本科,金润,互联网,B轮,100-499人,北京,1
1041,大数据开发,东莞·虎门镇·赤岗中心广场,7500,经验不限,本科,侠锋行网络科技,互联网,未融资,0-20人,东莞,1
1042,金华大数据局网络驻场工程师,金华·婺城区·三路口,6500,3-5年,本科,新华三技术有限公司,计算机软件,不需要融资,10000人以上,金华,1
1043,中级大数据运维,贵阳·观山湖区·长岭南路,12500,7年以上,本科,贵州智诚科技,计算机软件,未融资,100-499人,贵阳,1
1044,大数据架构师,成都·武侯区·中和,47500,3-5年,本科,墅泽智家,智能硬件,不需要融资,20-99人,成都,1
1045,大数据工程师,北京·朝阳区·望京,12500,3-5年,大专,东方国信,计算机软件,已上市,1000-9999人,北京,1
1046,资深大数据应用后端工程师-抖音生活服务,成都·双流区·中和,45000,3-5年,硕士,字节跳动,互联网,D轮及以上,10000人以上,成都,1
1047,大数据架构师,重庆·渝北区·财富中心,10000,经验不限,本科,众人科技,信息安全,未融资,20-99人,重庆,1
1048,ETL大数据开发-微软长期三方,北京·朝阳区·望京,22000,1-3年,本科,迅傲科技,移动互联网,不需要融资,100-499人,北京,1
1049,大数据开发,石家庄,20000,经验不限,本科,某大型移动互联网公司,移动互联网,不需要融资,500-999人,石家,1
1050,大数据开发讲师-兼职,武汉,35000,1-3年,博士,传智教育,培训机构,已上市,1000-9999人,武汉,1
1051,大数据架构师,北京·海淀区·学院路,30000,1-3年,博士,清雁科技,计算机软件,天使轮,20-99人,北京,1
1052,大数据分析师,石家庄,20000,经验不限,本科,某大型计算机软件上市公司,计算机软件,已上市,500-999人,石家,1
1053,Java开发专家(大数据方向),武汉·江夏区·光谷,25000,1-3年,本科,途虎养车,O2O,已上市,10000人以上,武汉,1
1054,运维工程师（大数据平台-深圳）,深圳·福田区·车公庙,13500,5-7年,学历不限,北京协成致远,数据服务,未融资,20-99人,深圳,1
1055,大数据风控策略,武汉,25000,3-5年,本科,某大型互联网金融公司,互联网金融,不需要融资,100-499人,武汉,1
1056,大数据研发,北京·朝阳区·朝青,30000,3-5年,本科,时空云科技,建筑设计,不需要融资,100-499人,北京,1
1057,大数据爬虫工程师,沈阳·和平区·展览馆,6500,1-3年,本科,杰斯科技,广告/公关/会展,未融资,20-99人,沈阳,1
1058,项目经理（大数据方向）,北京·海淀区·军博,37500,5-7年,博士,美亚柏科,信息安全,已上市,1000-9999人,北京,1
1059,大数据开发,重庆·渝北区·人和,7500,经验不限,本科,广讯微科,计算机软件,未融资,20-99人,重庆,1
1060,大数据开发岗,沈阳,20500,7年以上,本科,某知名其他行业公司,其他行业,未融资,1000-9999人,沈阳,1
1061,大数据平台专家,北京,65000,1-3年,大专,某知名企业,数据服务,D轮及以上,1000-9999人,北京,1
1062,大数据开发,北京,17500,5-7年,本科,新东方前途,培训机构,已上市,1000-9999人,北京,1
1063,资深/专家Java后端开发工程师(大数据方向),上海·长宁区·古北,50000,1-3年,博士,拼多多,移动互联网,已上市,1000-9999人,上海,1
1064,国企正编-大数据架构师（中石化子公司）,广州,42500,3-5年,大专,某大型互联网公司,互联网,未融资,100-499人,广州,1
1065,Java开发工程师 — 大数据开发平台,武汉·洪山区·光谷,32500,7年以上,本科,小米,互联网,已上市,10000人以上,武汉,1
1066,大数据算法-cv视觉感知高级工程师,北京·顺义区·马坡,47500,5-7年,硕士,理想汽车,智能硬件,已上市,10000人以上,北京,1
1067,大数据和数据库研发工程师,佛山·顺德区·北滘,45000,7年以上,学历不限,美的,其他行业,已上市,10000人以上,佛山,1
1068,运维（大数据方向）,贵阳,10500,1-3年,本科,中融软科,数据服务,未融资,100-499人,贵阳,1
1069,java大数据开发,合肥·蜀山区·桃花,15000,经验不限,本科,蔚拓智能,计算机软件,未融资,100-499人,合肥,1
1070,大数据讲师,郑州,15500,1-3年,本科,河南蓝鸥,移动互联网,D轮及以上,100-499人,郑州,1
1071,商品交易员（大数据编辑方向）,哈尔滨·松北区·江北万达城,5500,5-7年,本科,国际商品交易中心...,证券/期货,未融资,20-99人,哈尔,1
1072,大数据平台运维工程师,南京·雨花台区·铁心桥,19500,1-3年,本科,泰治科技,计算机软件,B轮,100-499人,南京,1
1073,大数据分析师,长春·南关区·净月开发区,8500,1-3年,学历不限,任民网络,互联网,未融资,20-99人,长春,1
1074,大数据销售,青岛·黄岛区·保税区,7500,7年以上,本科,山东隆众,数据服务,C轮,1000-9999人,青岛,1
1075,大数据架构师,长沙·长沙县·星沙通程广场,14500,3-5年,学历不限,牛数科技,移动互联网,未融资,100-499人,长沙,1
1076,大数据开发,深圳·罗湖区·园岭,16000,5-7年,硕士,博奥特,移动互联网,不需要融资,500-999人,深圳,1
1077,大数据开发组长（曲阳路）,上海·杨浦区·五角场,20500,7年以上,硕士,京北方,互联网金融,已上市,10000人以上,上海,1
